Claim,Source,Truth,Sentence_len,Type,Word_avg_len,NN_ratio,NNS_ratio,NNP_ratio,NNPS_ratio,PRP_ratio,PRP$_ratio,WP_ratio,WP$_ratio,Noun_ratio,VB_ratio,VBD_ratio,VBG_ratio,VBN_ratio,VBP_ratio,VBZ_ratio,Verb_ratio,JJ_ratio,JJR_ratio,JJS_ratio,Adj_ratio,RB_ratio,RBR_ratio,RBS_ratio,WRB_ratio,Adv_ratio,CC_ratio,CD_ratio,DT_ratio,EX_ratio,FW_ratio,IN_ratio,LS_ratio,MD_ratio,PDT_ratio,POS_ratio,RP_ratio,SYM_ratio,TO_ratio,UH_ratio,WDT_ratio,Function_ratio,Content_ratio
"Apple, Google Ban Location Tracking In Coronavirus Contact Tracing Apps",COVID Fake News Dataset,TRUE,10,10,6.5,10,0,90,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,100
"FEMA is only suspending rent for disaster survivors living in FEMA housing in California through May 12, 2021. ",FEMA,TRUE,19,18,5,21.05263158,5.263157895,15.78947368,0,0,0,0,0,42.10526316,0,0,5.263157895,0,0,5.263157895,10.52631579,5.263157895,0,0,5.263157895,5.263157895,0,0,0,5.263157895,0,10.52631579,0,0,0,21.05263158,0,0,0,0,0,0,0,0,0,31.57894737,63.15789474
"COVID-19: Linking loss of smell, depression, and anxiety",CoAID,TRUE,8,8,6.375,50,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,12.5,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,25,75
Many Need Follow-Up Colonoscopy and Don't Know it,CoAID,TRUE,8,8,5.25,0,0,37.5,0,12.5,0,0,0,50,12.5,0,0,0,12.5,0,25,12.5,0,0,12.5,12.5,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,100
US states accused of fudging coronavirus testing data,ReCOVery,TRUE,8,8,5.75,12.5,25,0,0,12.5,0,0,0,50,0,12.5,25,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,12.5,87.5
Scientists Identify 69 Drugs to Test Against the Coronavirus,ReCOVery,TRUE,9,9,5.777777778,0,11.11111111,44.44444444,0,0,0,0,0,55.55555555,0,0,0,0,11.11111111,0,11.11111111,0,0,0,0,0,0,0,0,0,0,11.11111111,11.11111111,0,0,0,0,0,0,0,0,0,11.11111111,0,0,33.33333333,66.66666666
Rare mutations reveal more about COVID-19 and the immune,CoAID,TRUE,9,9,5.333333333,11.11111111,11.11111111,11.11111111,0,0,0,0,0,33.33333333,0,0,0,0,11.11111111,0,11.11111111,11.11111111,11.11111111,0,22.22222222,0,0,0,0,0,11.11111111,0,11.11111111,0,0,11.11111111,0,0,0,0,0,0,0,0,0,33.33333333,66.66666666
Rolling updates on coronavirus disease (COVID-19).,MythBusters,TRUE,6,6,7.5,33.33333333,16.66666667,16.66666667,0,0,0,0,0,66.66666667,0,0,16.66666667,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,16.66666667,83.33333334
What to Know About Vitamin D and COVID-19,CoAID,TRUE,8,8,4.25,0,0,37.5,0,0,0,12.5,0,50,12.5,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,37.5,62.5
The Horror of the Coronavirus Data Lag,ReCOVery,TRUE,7,7,4.571428571,0,0,57.14285714,0,0,0,0,0,57.14285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57142857,0,0,14.28571429,0,0,0,0,0,0,0,0,0,42.85714286,57.14285714
